INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
270836517,07/05/2023,02:21:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK,"1,011,263","251,671",40.857414,-73.902346,POINT (-73.902346 40.857414)
264600807,03/03/2023,00:23:00,MANHATTAN,OUTSIDE,9,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,BLACK,"990,468","202,168",40.721581,-73.977567,POINT (-73.977567 40.721581)
266702449,04/14/2023,02:02:00,BRONX,OUTSIDE,46,0,STREET,(null),N,<18,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,"1,008,383","250,881",40.85525224,-73.91276232,POINT (-73.91276232 40.85525224)
261528414,01/07/2023,01:10:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,"1,008,692","243,109",40.83392,-73.911672,POINT (-73.911672 40.83392)
261204520,01/01/2023,06:47:00,BRONX,OUTSIDE,40,0,STREET,(null),N,18-24,M,BLACK,<18,M,BLACK,"1,005,216","235,339",40.812604,-73.924256,POINT (-73.924256 40.812604)
262145579,01/18/2023,22:18:00,QUEENS,OUTSIDE,115,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,"1,017,696","213,763",40.753346,-73.87928,POINT (-73.87928 40.753346)
270760814,07/03/2023,18:52:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,"1,013,037","236,657",,,
268973603,05/27/2023,21:15:00,QUEENS,INSIDE,113,0,DWELLING,MULTI DWELL - APT BUILD,N,45-64,F,BLACK,25-44,M,BLACK,"1,052,364","187,814",40.681921,-73.754415,POINT (-73.754415 40.681921)
272944749,08/15/2023,13:19:00,BRONX,OUTSIDE,44,0,STREET,(null),N,<18,M,BLACK,65+,M,WHITE HISPANIC,"1,007,267","240,281",40.826163,-73.91683,POINT (-73.91683 40.826163)
275209617,09/30/2023,12:14:00,BRONX,OUTSIDE,43,0,STREET,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,BLACK,"1,021,814","236,899",40.816829,-73.864286,POINT (-73.864286 40.816829)
271753275,07/23/2023,00:27:00,QUEENS,OUTSIDE,115,0,STREET,(null),N,45-64,M,BLACK,25-44,M,BLACK,"1,019,926","216,763",40.761569,-73.871215,POINT (-73.871215 40.761569)
271693660,07/21/2023,17:25:00,BRONX,OUTSIDE,46,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,"1,009,358","247,702",40.846527,-73.909249,POINT (-73.909249 40.846527)
270078984,06/19/2023,14:15:00,BRONX,OUTSIDE,42,0,STREET,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,"1,015,321","241,827",40.83038,-73.887723,POINT (-73.887723 40.83038)
267820025,05/06/2023,04:26:00,BROOKLYN,OUTSIDE,75,0,OTHER,(null),N,(null),(null),(null),18-24,M,BLACK,"1,012,067","183,393",40.670006,-73.899723,POINT (-73.899723 40.670006)
266775505,04/16/2023,14:53:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,011,094","253,282",40.861836,-73.90295,POINT (-73.90295 40.861836)
273194205,08/20/2023,19:43:00,BRONX,OUTSIDE,47,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,"1,022,260","260,278",40.880996,-73.862544,POINT (-73.862544 40.880996)
272420120,08/04/2023,16:35:00,BROOKLYN,OUTSIDE,76,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,65+,M,WHITE HISPANIC,"982,704","185,232",40.675097,-74.005571,POINT (-74.005571 40.675097)
272881673,08/14/2023,23:45:00,BROOKLYN,INSIDE,81,0,DWELLING,MULTI DWELL - APT BUILD,N,45-64,M,BLACK,18-24,F,BLACK,"1,001,179","192,507",40.69505,-73.938948,POINT (-73.938948 40.69505)
266896910,04/18/2023,22:51:00,BRONX,OUTSIDE,47,0,STREET,PVT HOUSE,Y,25-44,M,BLACK,25-44,M,BLACK,"1,027,396","268,265",40.902896,-73.843921,POINT (-73.843921 40.902896)
263018683,02/04/2023,00:00:00,BRONX,INSIDE,42,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,BLACK,<18,M,BLACK,"1,015,391","244,558",40.837878,-73.887459,POINT (-73.887459 40.837878)
270652262,06/30/2023,01:00:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,"1,007,966","233,667",40.808005918609815,-73.91433057949068,POINT (-73.91433057949068 40.808005918609815)
271885036,07/25/2023,23:04:00,BROOKLYN,OUTSIDE,70,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,"996,550","172,646",40.640543,-73.955677,POINT (-73.955677 40.640543)
270085751,06/19/2023,23:00:00,BRONX,OUTSIDE,41,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,45-64,M,BLACK,"1,013,901","238,673",40.821729,-73.892866,POINT (-73.892866 40.821729)
263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,48,0,STREET,FAST FOOD,N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,"1,013,973","247,558",40.846117,-73.892569,POINT (-73.892569 40.846117)
268973600,05/28/2023,20:45:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,"1,009,724","250,359",40.853817,-73.907917,POINT (-73.907917 40.853817)
267135167,04/21/2023,23:00:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,"1,009,320","245,782",40.84125439,-73.90939425,POINT (-73.90939425 40.84125439)
273301858,08/22/2023,04:05:00,MANHATTAN,INSIDE,19,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,"999,359","224,279",40.782259,-73.945441,POINT (-73.945441 40.782259)
266473081,04/10/2023,22:00:00,BRONX,OUTSIDE,47,1,TRANSIT,(null),N,<18,M,BLACK,<18,M,BLACK,"1,020,990","256,795",40.87144091,-73.86715728,POINT (-73.86715728 40.87144091)
265354835,03/19/2023,23:48:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,BLACK,18-24,M,BLACK,"1,025,687","268,586",40.903785,-73.850098,POINT (-73.850098 40.903785)
269632218,06/09/2023,21:12:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),65+,M,BLACK,"1,009,877","237,469",40.818437,-73.907411,POINT (-73.907411 40.818437)
263692952,02/15/2023,17:20:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,<18,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,"1,010,638","248,020",40.8473932,-73.90462205,POINT (-73.90462205 40.8473932)
268197444,05/12/2023,09:44:00,BROOKLYN,OUTSIDE,69,0,COMMERCIAL,(null),Y,25-44,M,BLACK,25-44,M,BLACK,"1,006,751","170,702",40.635188,-73.918929,POINT (-73.918929 40.635188)
